Date,Close/Last,Volume,Open,High,Low
09/08/2021,$249.68,1043396,$253.98,$254.19,$245.85
09/07/2021,$254.72,1866266,$260.94,$263.59,$254.44
09/03/2021,$249.04,1188067,$251.80,$255.9048,$248.185
09/02/2021,$254.03,3946919,$244.92,$255.85,$243.00
09/01/2021,$238.38,811133,$236.50,$239.17,$235.01
08/31/2021,$234.34,1216969,$233.51,$235.42,$232.25
08/30/2021,$233.12,1059326,$226.28,$234.3983,$225.945
08/27/2021,$226.02,1339053,$225.49,$227.82,$225.49
08/26/2021,$224.62,1125931,$224.07,$227.52,$222.4817
08/25/2021,$226.90,842006,$224.54,$227.29,$224.10
08/24/2021,$224.88,887663,$223.31,$225.70,$222.49
08/23/2021,$221.50,1354411,$217.40,$222.465,$217.40
08/20/2021,$216.64,2314334,$209.55,$218.14,$209.55
08/19/2021,$205.08,834019,$203.44,$207.99,$201.6775
08/18/2021,$205.42,1515083,$209.22,$209.50,$204.76
08/17/2021,$206.16,1330096,$205.48,$208.89,$205.12
08/16/2021,$208.83,1452656,$210.30,$210.865,$204.51
08/13/2021,$211.48,860201,$215.50,$216.0577,$211.21
08/12/2021,$215.04,1541995,$213.21,$215.47,$210.52
08/11/2021,$214.00,3304618,$216.07,$217.53,$210.15
08/10/2021,$215.48,2855535,$225.54,$226.27,$215.33
08/09/2021,$224.78,1040824,$223.48,$227.43,$220.755
08/06/2021,$221.97,1014028,$221.67,$224.50,$219.16
08/05/2021,$221.13,1700785,$219.50,$222.00,$216.70
08/04/2021,$217.42,1670278,$218.20,$220.27,$216.64
08/03/2021,$217.95,3438794,$226.62,$227.63,$214.995
08/02/2021,$228.40,2227501,$228.72,$230.88,$222.65
07/30/2021,$228.67,2169952,$226.53,$233.22,$225.34
07/29/2021,$225.27,2544003,$225.31,$228.76,$223.50
07/28/2021,$223.32,7220257,$220.70,$224.17,$213.11
07/27/2021,$236.93,1403813,$239.76,$241.66,$232.9403
07/26/2021,$240.59,1931341,$238.00,$241.59,$235.1251
07/23/2021,$243.64,1501497,$243.28,$247.905,$240.00
07/22/2021,$244.18,781336,$247.71,$248.95,$243.82
07/21/2021,$247.91,1249865,$247.25,$249.75,$243.73
07/20/2021,$246.50,902176,$243.00,$248.44,$238.6001
